,drug_a_name,drug_b_name,cell_line,synergy,fold,DepMap_ID,stripped_cell_line_name,drugA_canonical_smi,drugB_canonical_smi,synergy_clean,label_0,label_1
14,5-FU,ABT-888,LOVO,-8.9792139458,2,ACH-000950,LOVO,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-8.9792139458,1,2
15,5-FU,ABT-888,MDAMB436,6.8992599953,2,ACH-000573,MDAMB436,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,6.8992599953,1,2
17,5-FU,ABT-888,NCIH1650,-5.9963702965,2,ACH-000035,NCIH1650,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-5.9963702965,1,2
18,5-FU,ABT-888,NCIH2122,7.8902568144,2,ACH-000311,NCIH2122,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,7.8902568144,1,2
19,5-FU,ABT-888,NCIH23,-5.0426523057,2,ACH-000900,NCIH23,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-5.0426523057,1,2
20,5-FU,ABT-888,NCIH460,-6.6119479166,2,ACH-000463,NCIH460,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-6.6119479166,1,2
21,5-FU,ABT-888,NCIH520,3.6988348484,2,ACH-000395,NCIH520,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,3.6988348484,1,2
23,5-FU,ABT-888,OV90,-10.0688476137,2,ACH-000291,OV90,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-10.0688476137,0,1
25,5-FU,ABT-888,PA1,5.6864884514,2,ACH-001374,PA1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,5.6864884514,1,2
26,5-FU,ABT-888,RKO,-2.6775877856,2,ACH-000943,RKO,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-2.6775877856,1,2
27,5-FU,ABT-888,RPMI7951,-2.1732219296,2,ACH-000348,RPMI7951,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-2.1732219296,1,2
28,5-FU,ABT-888,SKMEL30,-36.4592295758,2,ACH-000810,SKMEL30,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-36.4592295758,0,0
29,5-FU,ABT-888,SKMES1,-0.0864245794,2,ACH-000665,SKMES1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-0.0864245794,1,2
30,5-FU,ABT-888,SKOV3,5.0771773842,2,ACH-000811,SKOV3,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,5.0771773842,1,2
31,5-FU,ABT-888,SW620,0.1081077187,2,ACH-000651,SW620,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,0.1081077187,1,2
32,5-FU,ABT-888,SW837,-14.5231086273,2,ACH-000421,SW837,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-14.5231086273,0,1
33,5-FU,ABT-888,T47D,17.4857954498,2,ACH-000147,T47D,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,17.4857954498,2,3
34,5-FU,ABT-888,UACC62,-1.5839637825,2,ACH-000425,UACC62,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-1.5839637825,1,2
36,5-FU,ABT-888,UWB1289,12.1947974084,2,ACH-001418,UWB1289,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,12.1947974084,2,3
37,5-FU,ABT-888,VCAP,1.0961027615,2,ACH-000115,VCAP,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,1.0961027615,1,2
38,5-FU,ABT-888,ZR751,-8.6753170435,2,ACH-000097,ZR751,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-8.6753170435,1,2
39,5-FU,AZD1775,A2058,13.0526874408,1,ACH-000788,A2058,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,13.0526874408,2,3
40,5-FU,AZD1775,A2780,11.2772729471,1,ACH-000657,A2780,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,11.2772729471,2,3
41,5-FU,AZD1775,A375,2.7051275464,1,ACH-000219,A375,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,2.7051275464,1,2
42,5-FU,AZD1775,A427,7.4940610975,1,ACH-000757,A427,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,7.4940610975,1,2
43,5-FU,AZD1775,CAOV3,23.9861795387,1,ACH-000713,CAOV3,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,23.9861795387,2,3
45,5-FU,AZD1775,DLD1,9.8201244067,1,ACH-001061,DLD1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,9.8201244067,1,2
47,5-FU,AZD1775,ES2,10.0575260869,1,ACH-000906,ES2,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,10.0575260869,2,3
48,5-FU,AZD1775,HCT116,13.9612713843,1,ACH-000971,HCT116,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,13.9612713843,2,3
49,5-FU,AZD1775,HT144,6.0653890015,1,ACH-000322,HT144,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,6.0653890015,1,2
50,5-FU,AZD1775,HT29,-2.712205241,1,ACH-000552,HT29,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-2.712205241,1,2
51,5-FU,AZD1775,KPL1,-2.0611613488,1,ACH-000028,KPL1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-2.0611613488,1,2
53,5-FU,AZD1775,LOVO,-4.0015073281,1,ACH-000950,LOVO,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-4.0015073281,1,2
54,5-FU,AZD1775,MDAMB436,23.3811341972,1,ACH-000573,MDAMB436,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,23.3811341972,2,3
56,5-FU,AZD1775,NCIH1650,10.773397668,1,ACH-000035,NCIH1650,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,10.773397668,2,3
57,5-FU,AZD1775,NCIH2122,4.3178885654,1,ACH-000311,NCIH2122,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,4.3178885654,1,2
58,5-FU,AZD1775,NCIH23,-7.1158991851,1,ACH-000900,NCIH23,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-7.1158991851,1,2
59,5-FU,AZD1775,NCIH460,13.5826976918,1,ACH-000463,NCIH460,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,13.5826976918,2,3
60,5-FU,AZD1775,NCIH520,2.5787085802,1,ACH-000395,NCIH520,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,2.5787085802,1,2
62,5-FU,AZD1775,OV90,-3.1936519467,1,ACH-000291,OV90,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-3.1936519467,1,2
64,5-FU,AZD1775,PA1,25.0726247672,1,ACH-001374,PA1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,25.0726247672,2,3
65,5-FU,AZD1775,RKO,19.3332015124,1,ACH-000943,RKO,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,19.3332015124,2,3
66,5-FU,AZD1775,RPMI7951,16.722015116,1,ACH-000348,RPMI7951,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,16.722015116,2,3
67,5-FU,AZD1775,SKMEL30,2.2887188875,1,ACH-000810,SKMEL30,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,2.2887188875,1,2
68,5-FU,AZD1775,SKMES1,33.3532583969,1,ACH-000665,SKMES1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,33.3532583969,2,4
69,5-FU,AZD1775,SKOV3,18.7449639444,1,ACH-000811,SKOV3,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,18.7449639444,2,3
70,5-FU,AZD1775,SW620,8.0516725326,1,ACH-000651,SW620,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,8.0516725326,1,2
71,5-FU,AZD1775,SW837,2.5778554159,1,ACH-000421,SW837,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,2.5778554159,1,2
72,5-FU,AZD1775,T47D,10.0383629005,1,ACH-000147,T47D,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,10.0383629005,2,3
73,5-FU,AZD1775,UACC62,11.4593505287,1,ACH-000425,UACC62,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,11.4593505287,2,3
75,5-FU,AZD1775,UWB1289,70.1581688167,1,ACH-001418,UWB1289,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,70.1581688167,2,4
76,5-FU,AZD1775,VCAP,-0.9983275325,1,ACH-000115,VCAP,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,-0.9983275325,1,2
77,5-FU,AZD1775,ZR751,0.423932097,1,ACH-000097,ZR751,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,0.423932097,1,2
78,5-FU,BEZ-235,A2058,13.6791116022,1,ACH-000788,A2058,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,13.6791116022,2,3
79,5-FU,BEZ-235,A2780,3.9332239081,1,ACH-000657,A2780,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,3.9332239081,1,2
80,5-FU,BEZ-235,A375,3.2905479611,1,ACH-000219,A375,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,3.2905479611,1,2
81,5-FU,BEZ-235,A427,8.8428112257,1,ACH-000757,A427,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,8.8428112257,1,2
82,5-FU,BEZ-235,CAOV3,4.4325063513,1,ACH-000713,CAOV3,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,4.4325063513,1,2
84,5-FU,BEZ-235,DLD1,13.0355787543,1,ACH-001061,DLD1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,13.0355787543,2,3
86,5-FU,BEZ-235,ES2,2.4774290291,1,ACH-000906,ES2,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,2.4774290291,1,2
87,5-FU,BEZ-235,HCT116,2.7457843603,1,ACH-000971,HCT116,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,2.7457843603,1,2
88,5-FU,BEZ-235,HT144,2.3230897887,1,ACH-000322,HT144,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,2.3230897887,1,2
89,5-FU,BEZ-235,HT29,11.8958027211,1,ACH-000552,HT29,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,11.8958027211,2,3
90,5-FU,BEZ-235,KPL1,16.462849087,1,ACH-000028,KPL1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,16.462849087,2,3
92,5-FU,BEZ-235,LOVO,0.0497243445,1,ACH-000950,LOVO,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,0.0497243445,1,2
93,5-FU,BEZ-235,MDAMB436,18.9742923554,1,ACH-000573,MDAMB436,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,18.9742923554,2,3
95,5-FU,BEZ-235,NCIH1650,17.6381552118,1,ACH-000035,NCIH1650,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,17.6381552118,2,3
96,5-FU,BEZ-235,NCIH2122,7.6972734841,1,ACH-000311,NCIH2122,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,7.6972734841,1,2
97,5-FU,BEZ-235,NCIH23,4.9902197108,1,ACH-000900,NCIH23,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,4.9902197108,1,2
98,5-FU,BEZ-235,NCIH460,20.1004137353,1,ACH-000463,NCIH460,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,20.1004137353,2,3
99,5-FU,BEZ-235,NCIH520,16.7217972261,1,ACH-000395,NCIH520,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,16.7217972261,2,3
101,5-FU,BEZ-235,OV90,17.5470785652,1,ACH-000291,OV90,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,17.5470785652,2,3
103,5-FU,BEZ-235,PA1,21.5623867189,1,ACH-001374,PA1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,21.5623867189,2,3
104,5-FU,BEZ-235,RKO,16.9360013477,1,ACH-000943,RKO,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,16.9360013477,2,3
105,5-FU,BEZ-235,RPMI7951,12.7059498499,1,ACH-000348,RPMI7951,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,12.7059498499,2,3
106,5-FU,BEZ-235,SKMEL30,-73.1384016545,1,ACH-000810,SKMEL30,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,-61.28586028470066,0,0
107,5-FU,BEZ-235,SKMES1,21.2679035017,1,ACH-000665,SKMES1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,21.2679035017,2,3
108,5-FU,BEZ-235,SKOV3,4.2458790789,1,ACH-000811,SKOV3,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,4.2458790789,1,2
109,5-FU,BEZ-235,SW620,12.0285902424,1,ACH-000651,SW620,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,12.0285902424,2,3
110,5-FU,BEZ-235,SW837,5.5145107479,1,ACH-000421,SW837,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,5.5145107479,1,2
111,5-FU,BEZ-235,T47D,106.0071923778,1,ACH-000147,T47D,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,71.53762562041977,2,4
112,5-FU,BEZ-235,UACC62,7.9318775251,1,ACH-000425,UACC62,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,7.9318775251,1,2
114,5-FU,BEZ-235,UWB1289,17.0637803344,1,ACH-001418,UWB1289,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,17.0637803344,2,3
115,5-FU,BEZ-235,VCAP,11.7574248227,1,ACH-000115,VCAP,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,11.7574248227,2,3
116,5-FU,BEZ-235,ZR751,7.0759828056,1,ACH-000097,ZR751,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,7.0759828056,1,2
117,5-FU,BORTEZOMIB,A2058,-5.2398784479,2,ACH-000788,A2058,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-5.2398784479,1,2
118,5-FU,BORTEZOMIB,A2780,-18.599126219,2,ACH-000657,A2780,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-18.599126219,0,1
119,5-FU,BORTEZOMIB,A375,-2.4053347825,2,ACH-000219,A375,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-2.4053347825,1,2
120,5-FU,BORTEZOMIB,A427,-7.8767081501,2,ACH-000757,A427,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-7.8767081501,1,2
121,5-FU,BORTEZOMIB,CAOV3,-35.2730418424,2,ACH-000713,CAOV3,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-35.2730418424,0,0
123,5-FU,BORTEZOMIB,DLD1,5.2284767557,2,ACH-001061,DLD1,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,5.2284767557,1,2
125,5-FU,BORTEZOMIB,ES2,-16.1301253292,2,ACH-000906,ES2,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-16.1301253292,0,1
126,5-FU,BORTEZOMIB,HCT116,-4.5192694496,2,ACH-000971,HCT116,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-4.5192694496,1,2
127,5-FU,BORTEZOMIB,HT144,-14.5697825802,2,ACH-000322,HT144,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-14.5697825802,0,1
128,5-FU,BORTEZOMIB,HT29,-15.9516134706,2,ACH-000552,HT29,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-15.9516134706,0,1
129,5-FU,BORTEZOMIB,KPL1,-2.9975327263,2,ACH-000028,KPL1,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,-2.9975327263,1,2
